0		25, 38, 163, 275, 318, 327, 407, 422, 482, 
1		105, 125, 160, 199, 248, 255, 347, 366, 400, 419, 481, 
2		9, 169, 194, 241, 311, 
3		77, 103, 131, 133, 136, 184, 197, 219, 301, 322, 330, 420, 446, 473, 
4		121, 123, 154, 263, 265, 377, 484, 
5		13, 148, 151, 167, 272, 337, 344, 360, 432, 447, 496, 
6		42, 129, 278, 292, 325, 327, 332, 415, 474, 
7		30, 45, 48, 113, 150, 153, 304, 315, 434, 
8		233, 369, 374, 472, 485, 
9		2, 194, 241, 
10		21, 89, 172, 181, 224, 226, 246, 323, 436, 443, 
11		66, 112, 287, 339, 383, 396, 453, 
12		37, 47, 180, 413, 
13		5, 18, 151, 161, 280, 344, 360, 447, 
14		100, 176, 192, 289, 382, 
15		44, 75, 76, 135, 156, 203, 244, 394, 395, 442, 444, 457, 
16		77, 301, 310, 420, 441, 446, 469, 
17		71, 196, 274, 348, 493, 
18		13, 161, 344, 
19		39, 42, 49, 87, 104, 120, 157, 193, 240, 349, 492, 
20		34, 65, 107, 236, 267, 293, 
21		10, 63, 121, 154, 224, 246, 265, 323, 436, 443, 484, 
22		27, 28, 144, 168, 236, 262, 279, 299, 352, 390, 423, 
23		161, 220, 272, 341, 388, 437, 447, 488, 
24		97, 141, 150, 183, 230, 
25		0, 55, 101, 190, 228, 288, 297, 318, 
26		146, 155, 232, 316, 435, 489, 
27		22, 28, 168, 223, 279, 423, 477, 483, 
28		22, 27, 168, 223, 279, 423, 477, 
29		41, 84, 129, 165, 278, 318, 385, 455, 464, 
30		7, 45, 48, 141, 147, 150, 285, 304, 315, 434, 
31		140, 232, 239, 261, 286, 316, 364, 
32		110, 271, 329, 356, 405, 417, 468, 470, 478, 
33		87, 104, 181, 308, 345, 349, 386, 
34		20, 65, 223, 293, 454, 
35		74, 122, 126, 158, 298, 444, 448, 462, 
36		91, 263, 475, 
37		12, 47, 189, 258, 399, 413, 418, 
38		0, 163, 173, 324, 362, 407, 422, 482, 
39		19, 42, 49, 104, 120, 157, 193, 240, 
40		179, 223, 281, 425, 483, 
41		29, 42, 84, 120, 129, 278, 325, 334, 403, 
42		6, 19, 39, 41, 120, 129, 157, 325, 332, 334, 
43		117, 206, 229, 283, 401, 491, 
44		15, 244, 313, 442, 450, 
45		7, 30, 48, 113, 149, 153, 315, 434, 
46		62, 127, 333, 438, 
47		12, 37, 189, 413, 
48		7, 30, 45, 304, 315, 403, 434, 
49		19, 39, 113, 149, 153, 157, 182, 193, 240, 490, 492, 
50		52, 205, 326, 328, 449, 471, 
51		165, 251, 320, 406, 455, 
52		50, 119, 280, 326, 328, 449, 471, 
53		68, 155, 372, 435, 489, 
54		110, 142, 166, 247, 259, 405, 470, 
55		25, 101, 288, 318, 320, 385, 464, 
57		66, 112, 145, 206, 383, 453, 
58		113, 182, 237, 
59		122, 126, 188, 266, 295, 296, 309, 426, 448, 462, 
60		78, 83, 96, 115, 170, 185, 187, 235, 276, 302, 312, 335, 343, 371, 380, 402, 416, 423, 499, 
61		87, 104, 305, 
62		46, 
63		21, 121, 246, 345, 386, 436, 443, 
64		206, 283, 319, 366, 396, 453, 
65		20, 34, 199, 293, 454, 481, 
66		11, 57, 112, 256, 339, 383, 453, 
67		158, 201, 340, 350, 397, 494, 
68		53, 155, 372, 435, 489, 
69		71, 140, 191, 196, 410, 487, 493, 
70		171, 191, 300, 410, 452, 
71		17, 69, 196, 274, 348, 493, 
72		94, 214, 387, 
73		247, 303, 338, 357, 370, 437, 486, 
74		35, 76, 106, 156, 158, 203, 298, 373, 394, 444, 462, 
75		15, 76, 134, 135, 156, 203, 244, 373, 394, 395, 444, 457, 
76		15, 74, 75, 106, 135, 156, 203, 244, 298, 373, 394, 395, 444, 457, 
77		3, 16, 131, 133, 136, 138, 184, 197, 219, 225, 301, 322, 330, 411, 420, 446, 473, 
78		60, 115, 132, 164, 187, 235, 302, 335, 371, 416, 427, 
79		88, 186, 270, 365, 421, 467, 
80		210, 215, 353, 369, 384, 414, 460, 485, 
81		97, 183, 249, 409, 460, 
82		175, 181, 291, 295, 490, 492, 495, 
83		60, 99, 111, 170, 185, 312, 343, 380, 402, 423, 
84		29, 41, 120, 129, 334, 403, 
85		132, 159, 204, 378, 
86		99, 111, 212, 306, 307, 380, 
87		19, 33, 61, 104, 305, 345, 349, 
88		79, 124, 186, 270, 365, 467, 
89		10, 172, 175, 181, 224, 226, 246, 308, 323, 386, 436, 443, 495, 
90		92, 177, 258, 260, 367, 399, 412, 418, 477, 483, 
91		36, 263, 428, 475, 
92		90, 177, 212, 258, 260, 307, 367, 399, 412, 418, 
93		137, 277, 356, 
94		72, 152, 202, 214, 254, 387, 
95		139, 143, 189, 222, 284, 376, 429, 
96		60, 178, 234, 235, 276, 302, 312, 371, 416, 428, 499, 
97		24, 81, 183, 230, 249, 409, 
98		134, 244, 252, 257, 314, 317, 392, 442, 
99		83, 86, 111, 115, 212, 260, 306, 343, 380, 
100		14, 176, 192, 289, 382, 
101		25, 55, 228, 288, 297, 318, 320, 
102		106, 208, 245, 373, 
103		3, 136, 213, 218, 238, 301, 322, 381, 420, 
104		19, 33, 39, 61, 87, 157, 305, 345, 349, 
105		1, 124, 125, 160, 199, 216, 248, 255, 347, 355, 362, 366, 400, 419, 481, 497, 
106		74, 76, 102, 135, 158, 208, 298, 373, 
107		20, 236, 267, 361, 
108		162, 273, 451, 
109		125, 231, 250, 347, 355, 400, 419, 497, 498, 
110		32, 54, 142, 259, 329, 405, 417, 468, 470, 478, 
111		83, 86, 99, 115, 185, 212, 260, 306, 335, 343, 380, 402, 423, 
112		11, 57, 66, 206, 339, 383, 453, 
113		7, 45, 49, 58, 149, 153, 182, 237, 240, 434, 
114		152, 202, 207, 214, 254, 282, 359, 431, 439, 456, 
115		60, 78, 99, 111, 187, 235, 302, 306, 335, 427, 
116		117, 118, 250, 310, 321, 441, 461, 498, 
117		43, 116, 229, 401, 491, 498, 
118		116, 225, 250, 310, 321, 411, 441, 461, 498, 
119		52, 280, 326, 328, 449, 471, 
120		19, 39, 41, 42, 84, 129, 157, 240, 325, 334, 
121		4, 21, 63, 123, 154, 224, 246, 265, 436, 443, 484, 
122		35, 59, 126, 188, 266, 296, 309, 391, 448, 462, 
123		4, 121, 154, 263, 265, 269, 475, 479, 484, 
124		88, 105, 160, 186, 199, 216, 221, 248, 255, 270, 324, 362, 
125		1, 105, 109, 231, 248, 255, 347, 366, 400, 419, 
126		35, 59, 122, 188, 266, 296, 309, 391, 426, 448, 462, 
127		46, 151, 167, 209, 432, 438, 471, 
128		130, 227, 382, 433, 463, 487, 
129		6, 29, 41, 42, 84, 120, 278, 325, 332, 334, 
130		128, 227, 243, 311, 406, 433, 
131		3, 77, 133, 136, 184, 197, 219, 322, 330, 420, 446, 473, 
132		78, 85, 159, 164, 178, 204, 378, 
133		3, 77, 131, 136, 184, 190, 197, 219, 322, 330, 420, 
134		75, 98, 135, 208, 244, 245, 314, 317, 392, 
135		15, 75, 76, 106, 134, 156, 203, 208, 244, 314, 373, 444, 
